"Model" "AIC"
"1" "00111" "12071.6050118059"
"2" "01011" "12119.192999683"
"3" "01101" "12058.4745407816"
"4" "01110" "12203.3590014131"
"5" "00011" "12389.268015617"
"6" "00101" "12123.5281068821"
"7" "00110" "12266.7302535946"
"8" "01001" "12174.4740448565"
"9" "01010" "12319.8876636624"
"10" "01100" "12690.7752473878"
"11" "00001" "12448.8129310502"
"12" "00010" "12595.2101895432"
"13" "00100" "12751.4356779823"
"14" "01000" "12809.5899105254"
"15" "00000" "13083.5266845157"
"16" "10111" "12066.4824553131"
"17" "11011" "12106.0112430684"
"18" "11101" "12052.5966171874"
"19" "11110" "12198.756442208"
"20" "10011" "12365.9379574921"
"21" "10101" "12120.586690476"
"22" "10110" "12264.6596195778"
"23" "11001" "12163.1073890531"
"24" "11010" "12308.8179614062"
"25" "11100" "12568.1266529739"
"26" "10001" "12427.7316756411"
"27" "10010" "12575.5220331556"
"28" "10100" "12631.4846384581"
"29" "11000" "12680.4988876345"
"30" "10000" "12945.6770549778"
"31" "11111" "12945.6770549778"
"32" "11111" "11996.6012060913"
"33" "01111" "12004.7110739482"
