year	wtd_area	min_dist
1982	1245.09589	1184.84
1983	14337.73151	5.95226
1984	54490.49863	1145.53
1985	7437.057534	1134.91
1986	20316.94247	834.39
1987	2711.745205	1231.71
1988	13751.54795	1142.6
1989	38707.56712	900.58
1990	31367.78082	216.719
1991	24646.40548	654.441
1992	50865.73973	5.95857
1993	21502.66301	245.768
1994	30945.90137	8.83935
1995	16792.15342	66.4048
1996	35331.24932	443.348
1997	42627.86575	5.95514
1998	17047.18082	5.96406
1999	5988.758904	2081.48
2000	18022.72877	635.668
2001	16619.65753	764.207
2002	29134.94247	411.086
2003	27280.90137	207.125
2004	73798.83836	5.96333
2005	52509.21644	111.854
2006	9373.783562	416.343
2007	17826.14795	331.33
2008	26838.9863	926.55
2009	19889.82192	348.591
2010	11620.34247	1166.06
2011	16152.92603	1731.84
2012	23204.66301	1554.02
2013	80492.84384	71.0385
2014	60222.09315	54.4202
2015	126467.2986	5.95563
2016	104653.3616	5.95455
2017	31597.67945	664.373
2018	40524.1863	93.7452
2019	85368.03288	507.238
2020	19492.56438	1487.93
