Year,Month,Day,station,Repeat,Longitude,Latitude,Lopa
2013,9,13,AR04,FALSE,-124,39.25,0
2013,9,13,AR05,FALSE,-124.108,39.25,0
2013,9,14,BF04,FALSE,-124.362,40.13333333,0
2013,9,14,BF05,FALSE,-124.471,40.13333333,0
2013,9,15,TD01,FALSE,-124.19,41.05833333,0
2013,9,15,TD04,FALSE,-124.388,41.05833333,0
2010,6,30,NH05,FALSE,-124.175,44.66666667,0
2010,7,3,RR01,FALSE,-124.492,42.5,0
2010,7,4,SR01,FALSE,-124.272,41.9,0
2010,7,4,SR02,FALSE,-124.354,41.9,0
2010,7,4,SR03,FALSE,-124.445,41.9,0
2010,7,6,TD01,FALSE,-124.19,41.05833333,0
2010,7,7,ER01,FALSE,-124.385,40.63333333,0
2010,7,7,ER02,FALSE,-124.445,40.63333333,0
2010,7,7,ER03,FALSE,-124.51,40.63333333,0
2010,7,8,PD02,FALSE,-124.128,40.03333333,0
2010,7,8,PD03,FALSE,-124.193,40.03333333,0
2010,7,8,PD04,FALSE,-124.3,40.03333333,0
2010,7,8,PD05,FALSE,-124.407,40.03333333,0
2010,7,9,AR01,FALSE,-123.803,39.25,0
2010,7,9,AR02,FALSE,-123.829,39.25,0
2010,7,9,AR03,FALSE,-123.892,39.25,0
2010,7,9,AR04,FALSE,-124,39.25,0
2010,7,9,AR05,FALSE,-124.107,39.25,0
2010,7,10,GP01,FALSE,-123.545,38.75,0
2010,7,10,GP04,FALSE,-123.74,38.75,0
2010,7,10,GP05,FALSE,-123.846,38.75,0
2010,7,11,FR01,FALSE,-123.246,38.5,0
2010,7,11,FR02,FALSE,-123.28,38.5,0
2010,7,11,FR04,FALSE,-123.458,38.5,0
2011,6,30,HH03,FALSE,-124.275,44,0
2011,7,1,FM01,FALSE,-124.43,43.21666667,0
2011,7,1,FM03,FALSE,-124.575,43.21666667,0
2011,7,1,FM04,FALSE,-124.653,43.21666667,0
2011,7,1,FM05,FALSE,-124.767,43.21666667,0
2011,7,2,RR01,FALSE,-124.492,42.5,0
2011,7,2,RR02,FALSE,-124.542,42.5,0
2011,7,2,RR03,FALSE,-124.6,42.5,0
2011,7,2,RR04,FALSE,-124.697,42.5,0
2011,7,2,RR05,FALSE,-124.808,42.5,0
2011,7,3,SR02,FALSE,-124.354,41.9,0
2011,7,3,SR03,FALSE,-124.445,41.9,0
2011,7,3,SR04,FALSE,-124.554,41.9,0
2011,7,3,SR05,FALSE,-124.663,41.9,0
2011,7,4,KR01,FALSE,-124.154,41.58333333,0
2011,7,4,KR02,FALSE,-124.253,41.58333333,0
