Cruise ,Sample_Date,Month,Day,Year,Start_Time,Transect_Name,Distance_Offshore_nmi,Bottom_Depth,Station_Code,Haul,Station,Lat,Lon,Study_Type,Repeat,MMED,Liner_Mesh,Extension,California_market_squid_,
1,6/16/1998,6,16,1998,18:30,Columbia River,7,76.8096,061698CR07A,1,CR07,46.0825,-124.1351,Regular,FALSE,No,0.8,No,2.359415416,
1,6/16/1998,6,16,1998,20:35,Columbia River,7,54.864,061698CR07B,2,CR07,46.13383,-124.1643,Regular,TRUE,No,0.8,No,0.61609705,
1,6/17/1998,6,17,1998,13:28,Columbia River,2,18.288,061798CR02,3,CR02,46.147,-124.028,Regular,FALSE,No,0.8,No,0,
1,6/17/1998,6,17,1998,15:34,Columbia River,5,40.2336,061798CR05,4,CR05,46.12317,-124.0762,Regular,FALSE,No,0.8,No,0,
1,6/17/1998,6,17,1998,19:31,Columbia River,10,85.9536,061798CR10,5,CR10,46.1375,-124.2097,Regular,FALSE,No,0.8,No,1.168851132,
1,6/17/1998,6,17,1998,21:15,Columbia River,15,109.728,061798CR15,6,CR15,46.14,-124.295,Regular,FALSE,No,0.8,No,4.809200708,
1,6/18/1998,6,18,1998,16:58,Grays Harbor,10,54.864,061898GH10,8,GH10,46.983,-124.391,Regular,FALSE,No,0.8,No,0,
1,6/18/1998,6,18,1998,18:50,Grays Harbor,16,84.1248,061898GH16,9,GH16,46.98433,-124.5445,Regular,FALSE,No,0.8,No,0,
1,6/18/1998,6,18,1998,21:15,Grays Harbor,21,109.728,061898GH21,10,GH21,46.96667,-124.6608,Regular,FALSE,No,0.8,No,20.79210601,
1,6/19/1998,6,19,1998,6:00,Grays Harbor,26,162.7632,061998GH26,11,GH26,47.00083,-124.8152,Regular,FALSE,No,0.8,No,0,
1,6/19/1998,6,19,1998,18:23,Willapa Bay,5,27.432,061998WB05,16,WB05,46.6575,-124.1768,Regular,FALSE,No,0.8,No,2.582575997,
1,6/19/1998,6,19,1998,16:17,Willapa Bay,9,54.864,061998WB09,15,WB09,46.59783,-124.2598,Regular,FALSE,No,0.8,No,0,
1,6/19/1998,6,19,1998,14:07,Willapa Bay,14,82.296,061998WB14,14,WB14,46.63783,-124.3883,Regular,FALSE,No,0.8,No,0.267796532,
1,6/19/1998,6,19,1998,12:20,Willapa Bay,19,111.5568,061998WB19,13,WB19,46.65,-124.4938,Regular,FALSE,No,0.8,No,24.02423098,
1,6/19/1998,6,19,1998,9:13,Willapa Bay,30,292.608,061998WB30,12,WB30,46.648,-124.7778,Regular,FALSE,No,0.8,No,0,
1,6/20/1998,6,20,1998,11:55,Columbia River,7,58.5216,062098CR07,19,CR07,46.15717,-124.1577,Regular,TRUE,No,0.8,No,0,1
