"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
2001,1,1,211506.675459263,0.112575535675135,23810.4772886936
2002,1,1,0,NA,NA
2003,1,1,280752.101632196,0.0857800686242394,24082.9345444092
2004,1,1,0,NA,NA
2005,1,1,288340.829820124,0.0879206882929627,25351.1242207495
2006,1,1,0,NA,NA
2007,1,1,276660.250032608,0.0845292659246973,23385.8878457995
2008,1,1,0,NA,NA
2009,1,1,582948.559280163,0.0779480277270823,45439.6904622327
2010,1,1,0,NA,NA
2011,1,1,511385.916608769,0.0834592392321748,42679.8795542164
2012,1,1,0,NA,NA
2013,1,1,538642.535765746,0.09153635006329,49305.3717128315
2014,1,1,0,NA,NA
2015,1,1,347995.571330169,0.0829761530612401,28875.3337913258
2016,1,1,0,NA,NA
2017,1,1,175220.878986026,0.108750835566958,19055.4169985072
