Year,JSOES,SWFSC,,,,,,,,,,,,,,=,JSOES,
1998,40,0,,,,,,,,,,,,,,,,
1999,50,0,,,,,,,,,,,,,,,,
2000,28,0,,,,,,,,,,,,,,0,1,
2001,48,0,,,,,,,,,,,,,,,,
2002,53,0,,,,,,,,,,,,,,,,
2003,65,0,,,,,,,,,,,,,,,,
2004,56,0,,,,,,,,,,,,,,,,
2005,43,0,,,,,,,,,,,,,,,,
2006,68,0,,,,,,,,,,,,,,,,
2007,52,0,,,,,,,,,,,,,,,,
2008,52,0,,,,,,,,,,,,,,,,
2009,50,0,,,,,,,,,,,,,,,,
2010,55,61,,,,,,,,,,,,,,,,
2011,54,68,,,,,,,,,,,,,,,,
2012,69,52,,,,,,,,,,,,,,,,
2013,50,55,,,,,,,,,,,,,,,,
2014,48,68,,,,,,,,,,,,,,,,
2015,45,66,,,,,,,,,,,,,,,,
2016,45,35,,,,,,,,,,,,,,,,
2017,52,0,,,,,,,,,,,,,,,,
2018,64,0,,,,,,,,,,,,,,,,
2019,51,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,JSOES,,,,SWFSC,,,,Annual,,,,,,,,,
Year,Total,Positive,% Positive,,Total,Positive,% Positive,,Total,Positive,% Positive,,,,,,,
1998,37,10,27%,,0,0,N/A,,37,10,27%,,,,,,,
1999,49,13,27%,,0,0,N/A,,49,13,27%,,,,",",",",=,SWFSC
2000,27,2,7%,,0,0,N/A,,27,2,7%,,,,,,,
2001,47,7,15%,,0,0,N/A,,47,7,15%,,,,,,,
2002,53,18,34%,,0,0,N/A,,53,18,34%,,,,,0,1,
2003,64,22,34%,,0,0,N/A,,64,22,34%,,,,,1998,,
2004,56,17,30%,,0,0,N/A,,56,17,30%,,,,,1999,,
2005,43,5,12%,,0,0,N/A,,43,5,12%,,,,,2000,,
2006,68,12,18%,,0,0,N/A,,68,12,18%,,,,,2001,,
2007,52,2,4%,,0,0,N/A,,52,2,4%,,,,,2002,,
2008,52,0,0%,,0,0,N/A,,52,0,0%,,,,,2003,,
2009,50,1,2%,,0,0,N/A,,50,1,2%,,,,,2004,,
2010,55,6,11%,,61,30,49%,,116,36,31%,,,,,2005,,
2011,54,10,19%,,68,23,34%,,122,33,27%,,,,,2006,,
2012,69,10,14%,,52,29,56%,,121,39,32%,,,,,2007,,
2013,50,6,12%,,54,41,76%,,104,47,45%,,,,,2008,,
2014,48,19,40%,,67,52,78%,,115,71,62%,,,,,2009,,
2015,45,32,71%,,66,51,77%,,111,83,75%,,,,,2010,,
2016,45,22,49%,,33,14,42%,,78,36,46%,,,,,2011,,
2017,52,16,31%,,0,0,N/A,,52,16,31%,,,,,2012,,
2018,64,37,58%,,0,0,N/A,,64,37,58%,,,,,2013,,
2019,50,39,78%,,0,0,N/A,,50,39,78%,,,,,2014,,
,,,,,,,,,,,,,,,,2015,,
,,,,,,,,,,,,,,,,2016,,
,,,,,,,,,,,,,,,,2017,,
,,,,,,,,,,,,,,,,2018,,
,,,,,,,,,,,,,,,,2019,,
