Survey,cruise,Station_Code,Station,Year,Date,Time,Lat,Long,Station_Depth_m,Distance_Offshore_nmi,Gear,Extension,Species,Total_CPUE,CPUE<80,CPUE>80,TrawlDist_km,3m_Temp,3m_Salinity,3m_Chl,Top20m_Temp,Top20m_Salinity,CTD_Comments
SWFSC,FR1001,FR100101T1,NH05,2010,6/30/2010,14:06,44.67,-124.17,58.5,5,264NRT,No,California market squid,0,0,0,3.2206453,11.75399971,32.28099823,4.64170266,9.489194393,33.02977753,
SWFSC,FR1001,FR100102T1,HH01,2010,7/1/2010,8:05,44,-124.1708333,30,1.4,264NRT,No,California market squid,0.482906953,0,0.482906953,2.0707923,9.538999557,33.42599869,5.51954693,8.825485039,33.64295025,
SWFSC,FR1001,FR100103T1,HH02,2010,7/1/2010,10:00,44,-124.2116667,55,3.2,264NRT,No,California market squid,1.153496999,0,1.153496999,3.467716,9.683300018,33.26100159,5.45844825,9.420420074,33.43150024,
SWFSC,FR1001,FR100104T1,HH03,2010,7/1/2010,11:58,44,-124.275,80,5.9,264NRT,No,California market squid,25.03720484,21.14252853,3.894676308,3.3550071,10.76799965,33.17300034,11.35986193,9.424744987,33.58430004,
SWFSC,FR1001,FR100105T1,HH04,2010,7/1/2010,14:39,44,-124.39,117,10.9,264NRT,No,California market squid,2.216466586,0,2.216466586,3.1581798,12.99100018,32.84000015,1.19052575,10.95655508,33.61374969,
SWFSC,FR1001,FR100106T1,HH05,2010,7/1/2010,16:52,44,-124.5066667,133,15.9,264NRT,No,California market squid,3.614139961,0,3.614139961,3.320292,13.92199993,32.64699936,0.86616364,12.51344485,33.3883503,
SWFSC,FR1001,FR100107T1,FM01,2010,7/2/2010,8:10,43.21666667,-124.4333333,30,1.6,264NRT,No,California market squid,0.569458927,0.284729463,0.284729463,3.5121058,9.193699837,33.88000107,10.35532775,8.260905004,34.0125,
SWFSC,FR1001,FR100109T2,FM02,2010,7/2/2010,10:55,43.21666667,-124.4733333,55,3.3,264NRT,No,California market squid,5.357351985,1.071470397,4.285881588,0.9332969,10.66100025,32.95600128,12.15773881,9.197999981,33.5778887,
SWFSC,FR1001,FR100110T1,FM03,2010,7/2/2010,12:42,43.21666667,-124.5633333,73,7.2,264NRT,No,California market squid,10.46310135,8.37048108,2.09262027,3.3450885,12.04500008,32.51699829,1.66943158,9.657519913,33.21714983,
SWFSC,FR1001,FR100111T1,FM04,2010,7/2/2010,14:47,43.21666667,-124.655,137,11.2,264NRT,No,California market squid,27.37941798,15.01451954,12.36489844,3.1045218,11.8409996,32.67499924,0.6199719,10.32817001,32.64339952,
SWFSC,FR1001,FR100112T1,FM05,2010,7/2/2010,17:29,43.21666667,-124.77,340,16.2,264NRT,No,California market squid,156.8363097,0,156.8363097,3.079644,14.02600002,31.60499954,0.15903627,12.70259991,32.06070013,
SWFSC,FR1001,FR100113T1,RR01,2010,7/3/2010,8:20,42.5,-124.4916667,32,3,264NRT,No,California market squid,0,0,0,3.1756593,8.475399971,33.74499893,3.93637231,8.143530059,33.87459965,
SWFSC,FR1001,FR100114T1,RR02,2010,7/3/2010,10:02,42.5,-124.5416667,57,5.2,264NRT,No,California market squid,148.0112617,138.1438443,9.867417448,3.3578526,9.023599625,33.51800156,6.4063763,8.784879923,33.63845043,
SWFSC,FR1001,FR100115T1,RR03,2010,7/3/2010,12:00,42.5,-124.6,82,7.8,264NRT,No,California market squid,214.8126267,206.3886021,8.424024576,3.3331374,9.413200378,33.24399948,5.2023729,9.181690025,33.33134956,
SWFSC,FR1001,FR100116T1,RR04,2010,7/3/2010,14:47,42.5,-124.6966667,118,12.1,264NRT,No,California market squid,15.9714201,13.41599289,2.555427216,3.130592,9.670200348,32.91999817,5.95891832,9.088824987,33.24699993,
SWFSC,FR1001,FR100117T1,RR05,2010,7/3/2010,17:32,42.5,-124.81,600,17.1,264NRT,No,California market squid,21.9832799,0.814195552,21.16908435,3.1387491,10.55599976,32.79499817,4.01544119,9.939319944,33.0585495,
SWFSC,FR1001,FR100118T1,SR01,2010,7/4/2010,8:46,41.9,-124.2717,30,2.9,264NRT,No,California market squid,0,0,0,3.3266605,7.753600121,33.85900116,1.38190838,7.708844972,33.88465023,
SWFSC,FR1001,FR100119T1,SR02,2010,7/4/2010,10:46,41.9,-124.3541667,55,6.6,264NRT,No,California market squid,0,0,0,3.0219481,7.495699883,33.9070015,0.60020468,7.468435001,33.91315022,
