Survey,cruise,Station_Code,Station,Date,Time,Year,Lat,Long,Station_Depth_m,Distance_Offshore_nm,Gear,Extension,Species,Length,Measurement
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,45,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,37,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,38,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,49,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,37,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,60,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,44,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110101T1,NH05,6/29/2011,1/0/1900,2011,44.67,-124.17,58.5,5,264NRT,No,California market squid,45,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,43,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,51,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,49,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,40,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,47,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,48,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,43,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,73,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,54,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,51,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,59,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,75,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,43,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,46,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,53,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,70,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,45,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,43,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,40,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,46,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,49,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,45,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,62,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,68,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,45,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,57,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,63,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,60,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,50,DML (mm)
SWFSC,FR1101,FR110102T1,HH01,6/30/2011,1/0/1900,2011,44,-124.1708333,30,1.4,264NRT,No,California market squid,56,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,51,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,56,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,51,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,69,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,54,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,73,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,64,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,82,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,81,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,78,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,47,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,60,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,85,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,55,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,60,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,65,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,94,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,75,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,56,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,72,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,62,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,93,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,80,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,57,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,59,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,56,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,49,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,54,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,52,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,83,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,77,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,67,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,74,DML (mm)
SWFSC,FR1101,FR110103T1,HH02,6/30/2011,1/0/1900,2011,44,-124.2116667,55,3.2,264NRT,No,California market squid,81,DML (mm)
SWFSC,FR1101,FR110105T1,HH04,6/30/2011,1/0/1900,2011,44,-124.39,117,10.9,264NRT,No,California market squid,80,DML (mm)
SWFSC,FR1101,FR110105T1,HH04,6/30/2011,1/0/1900,2011,44,-124.39,117,10.9,264NRT,No,California market squid,66,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,86,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,92,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,90,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,75,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,100,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,70,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,85,DML (mm)
SWFSC,FR1101,FR110106T1,HH05,6/30/2011,1/0/1900,2011,44,-124.5066667,133,15.9,264NRT,No,California market squid,80,DML (mm)
SWFSC,OS1201,OS120101T1,HH01,6/11/2012,1/0/1900,2012,44,-124.1708333,30,1.4,264NRT+MED,No,California market squid,40,DML (mm)
SWFSC,OS1201,OS120101T1,HH01,6/11/2012,1/0/1900,2012,44,-124.1708333,30,1.4,264NRT+MED,No,California market squid,53,DML (mm)
SWFSC,OS1201,OS120101T1,HH01,6/11/2012,1/0/1900,2012,44,-124.1708333,30,1.4,264NRT+MED,No,California market squid,41,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,36,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,40,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,60,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,58,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,49,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,40,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,49,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,57,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,58,DML (mm)
SWFSC,OS1201,OS120102T1,HH02,6/11/2012,1/0/1900,2012,44,-124.2116667,55,3.2,264NRT+MED,No,California market squid,44,DML (mm)
