V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,67.10631169,80.67791256,29.26299273,110.9848026,146.1661158,197.4334233,158.9628696,56.35527732,122.4487247,NA,44.51945467,37.49293297,323.367885,365.3080855,444.7403482,532.6477634,1050.519459,NA,352.9249119,106.6998652,964.8567854,789.4016606
3,67.05226984,80.6334426,29.16180818,110.758715,145.8739733,197.6594882,158.9621852,56.13328951,122.2762202,55.83484325,44.3382616,37.32936871,324.596677,364.6272302,443.6888277,513.247685,1035.141613,2008.17275,351.6981167,106.5106914,952.5620663,789.1691861
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,68.14202555,110.8176463,27.64657093,121.8440727,147.7795697,193.5410611,146.9523201,68.0228272,361.0974642,52.47747042,36.26283649,26.97846512,328.5511204,362.345861,466.9229552,526.3983389,964.3201881,NA,298.7064919,109.4116104,NA,598.8002252
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,66.45441604,89.33869704,27.83824309,89.65731053,138.7219579,234.6881335,169.8774748,56.90893141,132.6383441,NA,42.04077015,38.21882769,340.9459218,413.7942432,510.5094937,511.4830402,889.3770666,1700.988293,337.1932049,110.503869,791.266084,NA
9,66.25197021,89.35701199,27.7548772,89.38604369,138.408291,234.8161312,169.2729695,57.36974647,131.2129594,56.48946087,41.53009806,37.8439,342.6437042,408.1388236,506.5110773,488.4950312,873.5395976,1694.964023,335.3707225,110.4476206,782.3075224,670.8511462
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
